frame_id,p0_nose_x,p0_nose_y,p0_nose_c,p0_left_eye_x,p0_left_eye_y,p0_left_eye_c,p0_right_eye_x,p0_right_eye_y,p0_right_eye_c,p0_left_ear_x,p0_left_ear_y,p0_left_ear_c,p0_right_ear_x,p0_right_ear_y,p0_right_ear_c,p0_left_shoulder_x,p0_left_shoulder_y,p0_left_shoulder_c,p0_right_shoulder_x,p0_right_shoulder_y,p0_right_shoulder_c,p0_left_elbow_x,p0_left_elbow_y,p0_left_elbow_c,p0_right_elbow_x,p0_right_elbow_y,p0_right_elbow_c,p0_left_wrist_x,p0_left_wrist_y,p0_left_wrist_c,p0_right_wrist_x,p0_right_wrist_y,p0_right_wrist_c,p0_left_hip_x,p0_left_hip_y,p0_left_hip_c,p0_right_hip_x,p0_right_hip_y,p0_right_hip_c,p0_left_knee_x,p0_left_knee_y,p0_left_knee_c,p0_right_knee_x,p0_right_knee_y,p0_right_knee_c,p0_left_ankle_x,p0_left_ankle_y,p0_left_ankle_c,p0_right_ankle_x,p0_right_ankle_y,p0_right_ankle_c,p1_nose_x,p1_nose_y,p1_nose_c,p1_left_eye_x,p1_left_eye_y,p1_left_eye_c,p1_right_eye_x,p1_right_eye_y,p1_right_eye_c,p1_left_ear_x,p1_left_ear_y,p1_left_ear_c,p1_right_ear_x,p1_right_ear_y,p1_right_ear_c,p1_left_shoulder_x,p1_left_shoulder_y,p1_left_shoulder_c,p1_right_shoulder_x,p1_right_shoulder_y,p1_right_shoulder_c,p1_left_elbow_x,p1_left_elbow_y,p1_left_elbow_c,p1_right_elbow_x,p1_right_elbow_y,p1_right_elbow_c,p1_left_wrist_x,p1_left_wrist_y,p1_left_wrist_c,p1_right_wrist_x,p1_right_wrist_y,p1_right_wrist_c,p1_left_hip_x,p1_left_hip_y,p1_left_hip_c,p1_right_hip_x,p1_right_hip_y,p1_right_hip_c,p1_left_knee_x,p1_left_knee_y,p1_left_knee_c,p1_right_knee_x,p1_right_knee_y,p1_right_knee_c,p1_left_ankle_x,p1_left_ankle_y,p1_left_ankle_c,p1_right_ankle_x,p1_right_ankle_y,p1_right_ankle_c
0,143.10755920410156,104.95458984375,0.22522786259651184,145.0887451171875,102.95587158203125,0.2548285722732544,144.09814453125,101.95650482177734,0.2271290421485901,140.1357879638672,95.9603500366211,0.12015236914157867,141.12637329101562,97.95906829833984,0.17284397780895233,137.1640167236328,106.95330810546875,0.06835788488388062,133.20166015625,104.95458984375,0.07488477230072021,132.2110595703125,126.94050598144531,0.08339997380971909,130.22988891601562,125.94114685058594,0.13282401859760284,131.22047424316406,142.93026733398438,0.06078312546014786,133.20166015625,143.92962646484375,0.16260553896427155,119.33338928222656,132.93667602539062,0.0670853704214096,113.38984680175781,132.93667602539062,0.07065936923027039,123.2957534790039,160.9187469482422,0.10836407542228699,118.34280395507812,163.9168243408203,0.047262243926525116,119.33338928222656,186.902099609375,0.04236301779747009,115.37103271484375,191.89889526367188,0.04394916817545891,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,143.10804748535156,104.95159149169922,0.22538594901561737,145.08917236328125,102.95269012451172,0.2548176050186157,144.09860229492188,101.95323944091797,0.2270485907793045,140.1363525390625,95.95653533935547,0.1199854388833046,141.12692260742188,97.95543670654297,0.1728343516588211,137.1646728515625,106.95049285888672,0.06831023097038269,133.20242309570312,104.95159149169922,0.07492949813604355,132.2118682861328,126.93951416015625,0.08342672884464264,130.23074340820312,125.9400634765625,0.13293011486530304,131.22129821777344,142.93072509765625,0.060757577419281006,133.20242309570312,143.93017578125,0.16260607540607452,119.33456420898438,132.93621826171875,0.06707213819026947,113.39118957519531,132.93621826171875,0.07067623734474182,123.29680633544922,160.92083740234375,0.10833393782377243,118.343994140625,163.919189453125,0.04725036770105362,119.33456420898438,186.90655517578125,0.04236806556582451,115.372314453125,191.90380859375,0.04400353878736496,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,143.10887145996094,104.94425964355469,0.22527116537094116,145.0894775390625,102.94466400146484,0.2545228898525238,144.09918212890625,101.94486999511719,0.22673727571964264,140.13796997070312,95.94609069824219,0.11968545615673065,141.12826538085938,97.94568634033203,0.17270129919052124,137.1670684814453,106.94384765625,0.0683077797293663,133.20587158203125,104.94425964355469,0.07495971024036407,132.21556091308594,126.93977355957031,0.08355982601642609,130.23495483398438,125.93997192382812,0.13349172472953796,131.2252655029297,142.93650817871094,0.06063969433307648,133.20587158203125,143.93630981445312,0.16256067156791687,119.3416519165039,132.9385528564453,0.0670727789402008,113.39984130859375,132.9385528564453,0.07065396755933762,123.3028564453125,160.93283081054688,0.1081518828868866,118.35134887695312,162.93243408203125,0.04728845879435539,119.3416519165039,186.9275360107422,0.0423208549618721,115.38044738769531,191.926513671875,0.04425618797540665,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,143.10076904296875,104.7978515625,0.21992771327495575,145.0854949951172,102.81100463867188,0.24979738891124725,144.0931396484375,101.81758117675781,0.22569134831428528,140.12368774414062,95.8570556640625,0.12077747285366058,141.1160430908203,97.8438949584961,0.1736215502023697,137.14659118652344,106.78469848632812,0.06500964611768723,134.1695098876953,105.79127502441406,0.07763075828552246,132.18478393554688,126.65313720703125,0.08657938987016678,130.20005798339844,125.65971374511719,0.1298825591802597,131.19241333007812,142.54788208007812,0.062329623848199844,133.17713928222656,144.53472900390625,0.17237430810928345,119.28407287597656,132.61366271972656,0.06152014806866646,113.32989501953125,132.61366271972656,0.0715818852186203,123.2535171508789,160.42947387695312,0.10555548220872879,118.29170227050781,163.4097442626953,0.047357313334941864,119.28407287597656,187.2518768310547,0.04878772422671318,114.32225799560547,193.21240234375,0.04647216573357582,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,143.17201232910156,104.80567169189453,0.21802178025245667,145.15890502929688,102.8184585571289,0.2466903030872345,144.16546630859375,101.82484436035156,0.2239471971988678,140.191650390625,95.86318969726562,0.1210884377360344,141.1851043701172,97.85040283203125,0.17559419572353363,137.2113037109375,106.79289245605469,0.06780654191970825,134.23094177246094,105.79928588867188,0.07682637870311737,132.24404907226562,126.66508483886719,0.08698424696922302,130.25714111328125,126.66508483886719,0.13741160929203033,131.25059509277344,142.56283569335938,0.061517391353845596,133.23748779296875,144.55006408691406,0.1740534007549286,119.32917022705078,132.62673950195312,0.06296215206384659,113.36846160888672,132.62673950195312,0.07197574526071548,123.302978515625,160.44781494140625,0.10726924985647202,118.33572387695312,163.42864990234375,0.04720946401357651,119.32917022705078,187.27528381347656,0.05364588648080826,114.3619155883789,193.2369384765625,0.049322452396154404,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,143.03305053710938,104.85916137695312,0.22806225717067719,145.01658630371094,102.87274932861328,0.2590213716030121,144.02481079101562,101.8795394897461,0.22970867156982422,140.0577392578125,96.91349029541016,0.11958234757184982,141.04949951171875,97.90670013427734,0.17272844910621643,137.08242797851562,106.8455810546875,0.06553034484386444,134.10711669921875,105.85237121582031,0.07885707169771194,132.12356567382812,126.70976257324219,0.08631280809640884,130.14002990722656,126.70976257324219,0.12728692591190338,131.13180541992188,142.60110473632812,0.061781033873558044,133.11534118652344,144.5875244140625,0.17488841712474823,120.22232055664062,132.6690216064453,0.06475989520549774,113.27992248535156,132.6690216064453,0.07278922200202942,123.1976318359375,160.4788818359375,0.11108327656984329,117.24700927734375,164.4517059326172,0.047056928277015686,119.23054504394531,187.29551696777344,0.05671437829732895,114.27169036865234,193.2547607421875,0.05033387243747711,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,143.87936401367188,104.13945007324219,0.2523471713066101,144.8694305419922,103.14088439941406,0.22251534461975098,143.87936401367188,102.14231872558594,0.25484082102775574,139.91908264160156,96.15092468261719,0.11849280446767807,140.90914916992188,98.14805603027344,0.1754753589630127,136.94888305664062,107.13514709472656,0.06716614961624146,132.9886016845703,105.13801574707031,0.0836082398891449,131.99853515625,126.10787963867188,0.09681087732315063,131.0084686279297,126.10787963867188,0.14531198143959045,131.0084686279297,142.08493041992188,0.07090596854686737,132.9886016845703,144.08204650878906,0.18394222855567932,120.11770629882812,133.09783935546875,0.07465913891792297,113.18722534179688,132.09927368164062,0.07626988738775253,124.07798767089844,160.05908203125,0.11129193007946014,117.14750671386719,164.0533447265625,0.05374271422624588,119.12763977050781,186.02178955078125,0.06284627318382263,114.17729949951172,193.01174926757812,0.0550215020775795,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,143.89248657226562,104.13365936279297,0.2503912150859833,144.8826904296875,103.13440704345703,0.2235267609357834,143.89248657226562,102.1351547241211,0.2558303773403168,139.9316864013672,96.13965606689453,0.11850343644618988,140.921875,98.13815307617188,0.17647866904735565,136.96107482910156,107.13140869140625,0.06612634658813477,133.00027465820312,105.13290405273438,0.083927221596241,132.01007080078125,126.11715698242188,0.09473442286252975,131.01986694335938,126.11715698242188,0.14629635214805603,130.0296630859375,142.10516357421875,0.07089696824550629,133.00027465820312,144.10366821289062,0.18525296449661255,120.12765502929688,133.11190795898438,0.07456216216087341,113.19624328613281,132.1126708984375,0.07603509724140167,124.08845520019531,160.0916748046875,0.11158033460378647,117.15705108642578,164.0886688232422,0.053464166820049286,119.137451171875,186.07217407226562,0.06377311050891876,114.18644714355469,193.06692504882812,0.05489898473024368,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,143.88743591308594,104.15807342529297,0.25153660774230957,144.87744140625,103.1590576171875,0.22275233268737793,143.88743591308594,102.16004180908203,0.25464656949043274,139.9273681640625,96.16595458984375,0.11837957799434662,140.91738891601562,98.16397857666016,0.1750614494085312,136.95733642578125,106.15609741210938,0.06600506603717804,132.9972686767578,105.15708923339844,0.08379563689231873,132.00726318359375,126.13639831542969,0.09427909553050995,131.01724243164062,126.13639831542969,0.1460316926240921,130.02723693847656,142.12063598632812,0.07068117707967758,132.9972686767578,144.11866760253906,0.18469193577766418,120.12709045410156,133.12950134277344,0.07467250525951385,113.19698333740234,132.1304931640625,0.07604579627513885,124.08714294433594,160.1029052734375,0.11166931688785553,117.15704345703125,164.09896850585938,0.05345305800437927,119.13706970214844,186.07730102539062,0.06379682570695877,114.18699645996094,193.07040405273438,0.05487179011106491,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,143.913330078125,104.17021179199219,0.2503037452697754,144.9029083251953,102.1715087890625,0.22606147825717926,143.913330078125,102.1715087890625,0.254833459854126,139.95498657226562,96.17538452148438,0.11875402927398682,140.94456481933594,98.1740951538086,0.17519105970859528,136.98622131347656,106.1689224243164,0.06575551629066467,133.02786254882812,105.16957092285156,0.08396656066179276,132.0382843017578,126.15599060058594,0.09504655003547668,130.05911254882812,126.15599060058594,0.14211292564868927,130.05911254882812,142.14564514160156,0.07014716416597366,133.02786254882812,144.14434814453125,0.18500643968582153,120.16323852539062,133.15145874023438,0.0745311975479126,113.23612213134766,132.152099609375,0.07569361478090286,123.13199615478516,161.13336181640625,0.10748099535703659,117.19447326660156,164.13140869140625,0.05499574914574623,119.17364501953125,187.11654663085938,0.06552116572856903,114.2257080078125,193.1126708984375,0.05625757947564125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
