frame_id,p0_nose,p0_left_eye,p0_right_eye,p0_left_ear,p0_right_ear,p0_left_shoulder,p0_right_shoulder,p0_left_elbow,p0_right_elbow,p0_left_wrist,p0_right_wrist,p0_left_hip,p0_right_hip,p0_left_knee,p0_right_knee,p0_left_ankle,p0_right_ankle,p1_nose,p1_left_eye,p1_right_eye,p1_left_ear,p1_right_ear,p1_left_shoulder,p1_right_shoulder,p1_left_elbow,p1_right_elbow,p1_left_wrist,p1_right_wrist,p1_left_hip,p1_right_hip,p1_left_knee,p1_right_knee,p1_left_ankle,p1_right_ankle,p0_average,p1_average
1,0.41722729218622023,0.6511851842218215,0.4659752268904568,0.38148114149181006,0.4563414394062139,0.7859426745682003,0.37038045926808816,0.4900130440991376,0.4947083167982208,0.7898532758908537,0.5506566330265867,0.5089237932591733,0.46766763562747493,0.6711343431366512,0.34779073559822865,0.31956058476259014,0.2908950838440192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49763158023974974,0.0
2,1.3562474763933008,1.1892050887137824,1.8037846033995677,2.4645633406235383,1.245459348867386,0.290301654512392,0.3496880046634808,5.583883698657647,1.5107912603205307,15.678307606455265,4.494920245321591,2.647831556017463,2.503951486308708,13.194536628919824,6.831531806095817,5.953794760876228,1.9789344414572434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.06339605927081,0.0
3,0.14926671358412827,0.16002601414296266,0.1573610103006426,0.1590011993221012,0.14923036122739466,0.09736968702605214,0.11338577812358727,0.09243258552854207,0.12894903722766868,1.4272324120632176,0.11905745628579796,0.14662846551542272,0.16214509507256095,1.7020901721588872,0.7160938766084218,0.3243861574123076,0.3308534351573454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36091232098570825,0.0
4,0.27096922511425614,0.27507027179380145,0.2847198387747943,0.26861161625624236,0.29919105866114676,0.21904477466496977,0.3038539523878761,0.14915361643080058,0.29665557263883285,3.991650951455314,0.229775122469249,0.15717298471480184,0.22917087106975081,0.1638572436374418,0.232531586766688,0.8472151509538802,0.2421447673906548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49769344736355886,0.0
5,1.6495498542183895,0.8888484931284186,1.7316064135697713,1.9293592454850712,0.7008988627935447,0.7060577375117255,0.8887316587075287,3.98585752938658,3.02478638273543,5.329404857975102,5.425140192153409,5.726978905921396,5.726189527076805,6.735428787362982,4.92928118316405,2.633839572896693,4.063877946797044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.298578655934349,0.0
6,0.9487788965486365,0.11613674560376686,0.13334015991214804,0.11337281839362919,0.19294324141120373,0.8927097266580496,0.7219742585449106,1.1029157143010495,0.3770004070479034,3.0571296158317423,1.1285480777501629,1.5236555167386645,2.107348673314131,0.12196453184247914,1.3215929064926522,0.12098418555108774,0.727442049592597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8651669132667538,0.0
7,2.85419568159075,2.8449317636806435,5.072169586944639,1.805937061260383,2.913889735370054,0.7852038870853372,0.6998457847588204,4.430826357470701,0.7934393971757793,4.839135297907687,4.536512948708643,5.1936433895979555,8.184898763872384,1.5617944126379035,5.0062452332037,4.971799973767555,5.809053790994653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.664913121531035,0.0
8,0.312125151794064,0.32772268819275685,1.2353095395212008,0.32109850483469193,1.0534739974782543,0.2520942298639185,0.2337671673193299,1.4367722432620686,0.13080378408489698,14.456258193727466,1.0359001853549374,1.0212652057227518,3.015831519316618,1.8400311592247345,3.9788281763492916,4.777701142774033,4.889231598463627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3716596757226256,0.0
9,0.4649576873448575,0.4539141040519932,0.5196222684591661,1.0838855670720828,0.36947404913214493,0.9832047454730075,0.19975668259634963,0.20915115911667906,0.09479629393194042,0.6555335232946036,0.19314495996031666,1.0607954243567261,0.2655844376952718,1.9758557447950886,0.9238767521633552,0.5371059218208973,0.17930683989249133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.598233303597469,0.0
10,5.018627140482193,5.332219930186338,5.055765666691596,5.325778057497719,5.453239784726217,7.136178685319174,4.297033450939914,12.099118657548514,8.08770473588334,22.85486392524709,16.91086284067352,2.894696576215908,4.260518891173864,1.1254726827744528,5.639825657892179,1.2494654690686333,5.2983408850706715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.943512531611255,0.0
11,0.7991771901911853,0.20144442516877292,0.20121808658413065,0.19782664762544425,0.20198702068891236,0.1763871565262016,0.18470023722187603,0.1562689419530154,0.167619441792236,0.1412280351990705,0.1474659299952683,0.8893441791986534,0.8899719722217991,0.9455539892687906,0.08607410416401784,0.034413796173779834,0.0820011711037887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3236871955927614,0.0
12,6.701106121598974,6.959060673466216,6.707707469954654,5.720137038991028,7.938108839331776,6.58984742423491,4.637593005351796,6.563290436930335,7.545223498422466,5.015212073589614,14.385715275601415,2.984858841154059,2.988162814548385,5.6940530595867145,3.9463764531515872,4.471686083116767,4.67156182652532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.089394172679766,0.0
13,0.8921635952996011,0.8914584994831573,0.8990253547966663,1.5570980074488239,0.9136485546641588,0.5552709839321684,1.5420366288225968,1.4182492303387086,1.707396158166204,1.429963826486002,2.753872353443659,1.9835470958324344,1.3498066566131672,6.871679093388903,1.5117767913343931,5.3192628425098745,0.9098378517836561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9121231484908336,0.0
14,0.1403252076671457,0.1460074544715768,0.14682175566536876,0.14393884099656015,0.14290020926969824,0.9710075794257814,0.11048469698808719,0.07184071889483973,0.07995039941720454,0.9776769192159718,0.06486124275275647,0.03747346107845776,0.049831196331156506,0.11243611813491766,0.11436970847688328,0.1461802982296973,0.15247535599391834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21226948017706007,0.0
15,11.246274898153477,9.02612456095312,11.242503030259504,7.206194451229612,7.188302186652594,7.526338013278388,4.940778867045425,6.651100968996133,2.923735591724415,6.663398995649494,8.838590658850597,1.4452567058342385,3.2793771347782807,4.548845365655616,4.040570508864639,9.71110646048321,2.2620040803340697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3965001458084,0.0
16,0.20340613993728768,1.3455713658346073,0.23693342414748003,1.0755579032627045,0.2948377415037745,1.0931871874561185,0.3804650505897509,0.11593504219971641,1.2107321558361515,0.9219392274500139,1.2384473541133953,1.174989126160202,0.34252116743570216,0.24072111111854977,1.2853339780367772,3.0213295826656754,2.3433907593149867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9720763715919347,0.0
17,1.0998423022472317,0.11009636657472782,0.12437358116960733,0.10208868048512199,0.14098693647139116,0.08897758958140249,0.966303115769444,2.163366592425391,0.1901547752284393,0.05138752619878504,0.2052037610646822,0.0913734218648508,0.9584194644372839,1.3357516969614764,0.15862216392501036,0.07105977273520464,0.169405121980772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4722007570071072,0.0
18,4.373410228347452,4.76809932294032,3.866636698263518,5.703453322883135,3.8932602962208356,6.065068984357881,2.744631251507792,1.5928173723511392,3.186625339098636,3.260975741658895,4.964859816520898,4.53362305961472,2.423349689701531,3.9530403065761646,1.7411840272156858,2.642498213611045,1.9179090697084604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6253789847398883,0.0
19,0.7933202102145019,0.4306982423124841,1.3701128203376127,0.7457634571721449,1.3951983342470886,0.8329132207770946,1.8326133514984602,2.277246925717098,5.289870165245382,3.2992992008308795,9.386615675122481,1.974504772032369,1.2017004896801993,4.164026426900258,2.961045216136624,2.18728703128434,2.8952788076255227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5316173145373257,0.0
20,1.5190312462088913,3.2794381177488394,3.68228227424852,6.2027008215039166,2.874679083892329,2.174664298761169,1.3596513287000973,6.783411256901558,12.368544506109968,11.686424879830536,29.72070861298249,3.5730243056648376,3.096149027574532,2.170163594638411,4.5779004843950695,2.5166349698374333,2.37400548047242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.879965546439472,0.0
21,1.6935488263934928,0.8482117384689937,0.8969909770770873,0.8973755674274062,0.8995616324003605,0.5956638546022148,0.5173312916669847,3.604825722987217,5.554516983353301,1.8962512485016798,2.603460292879225,1.0082365929998636,0.9656867121949777,2.00791753153738,2.0104442489643386,2.544973692225564,3.239598464944057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.869682081095538,0.0
