frame_id,p0_nose_x,p0_nose_y,p0_nose_c,p0_left_eye_x,p0_left_eye_y,p0_left_eye_c,p0_right_eye_x,p0_right_eye_y,p0_right_eye_c,p0_left_ear_x,p0_left_ear_y,p0_left_ear_c,p0_right_ear_x,p0_right_ear_y,p0_right_ear_c,p0_left_shoulder_x,p0_left_shoulder_y,p0_left_shoulder_c,p0_right_shoulder_x,p0_right_shoulder_y,p0_right_shoulder_c,p0_left_elbow_x,p0_left_elbow_y,p0_left_elbow_c,p0_right_elbow_x,p0_right_elbow_y,p0_right_elbow_c,p0_left_wrist_x,p0_left_wrist_y,p0_left_wrist_c,p0_right_wrist_x,p0_right_wrist_y,p0_right_wrist_c,p0_left_hip_x,p0_left_hip_y,p0_left_hip_c,p0_right_hip_x,p0_right_hip_y,p0_right_hip_c,p0_left_knee_x,p0_left_knee_y,p0_left_knee_c,p0_right_knee_x,p0_right_knee_y,p0_right_knee_c,p0_left_ankle_x,p0_left_ankle_y,p0_left_ankle_c,p0_right_ankle_x,p0_right_ankle_y,p0_right_ankle_c,p1_nose_x,p1_nose_y,p1_nose_c,p1_left_eye_x,p1_left_eye_y,p1_left_eye_c,p1_right_eye_x,p1_right_eye_y,p1_right_eye_c,p1_left_ear_x,p1_left_ear_y,p1_left_ear_c,p1_right_ear_x,p1_right_ear_y,p1_right_ear_c,p1_left_shoulder_x,p1_left_shoulder_y,p1_left_shoulder_c,p1_right_shoulder_x,p1_right_shoulder_y,p1_right_shoulder_c,p1_left_elbow_x,p1_left_elbow_y,p1_left_elbow_c,p1_right_elbow_x,p1_right_elbow_y,p1_right_elbow_c,p1_left_wrist_x,p1_left_wrist_y,p1_left_wrist_c,p1_right_wrist_x,p1_right_wrist_y,p1_right_wrist_c,p1_left_hip_x,p1_left_hip_y,p1_left_hip_c,p1_right_hip_x,p1_right_hip_y,p1_right_hip_c,p1_left_knee_x,p1_left_knee_y,p1_left_knee_c,p1_right_knee_x,p1_right_knee_y,p1_right_knee_c,p1_left_ankle_x,p1_left_ankle_y,p1_left_ankle_c,p1_right_ankle_x,p1_right_ankle_y,p1_right_ankle_c
0,93.25386047363281,103.09307861328125,0.02487831562757492,93.25386047363281,103.09307861328125,0.02284831367433071,93.25386047363281,102.10002899169922,0.035889506340026855,94.25360107421875,103.09307861328125,0.03172137588262558,101.25177764892578,102.10002899169922,0.01877772808074951,95.25333404541016,114.01666259765625,0.012015972286462784,107.25021362304688,105.07918548583984,0.013461056165397167,105.250732421875,116.99581909179688,0.0063631427474319935,106.25047302246094,117.9888687133789,0.006766780745238066,91.25437927246094,132.88465881347656,0.017355777323246002,110.24943542480469,115.00971221923828,0.006564278621226549,96.2530746459961,124.94023895263672,0.003607930149883032,103.25125885009766,134.8707733154297,0.0029400892090052366,92.25411987304688,118.98192596435547,0.02260087989270687,92.25411987304688,118.98192596435547,0.003522431943565607,91.25437927246094,133.87771606445312,0.012388699688017368,91.25437927246094,132.88465881347656,0.007718345616012812,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,93.25386047363281,103.09307861328125,0.02487831562757492,93.25386047363281,103.09307861328125,0.02284831367433071,93.25386047363281,102.10002899169922,0.035889506340026855,94.25360107421875,103.09307861328125,0.03172137588262558,101.25177764892578,102.10002899169922,0.01877772808074951,95.25333404541016,114.01666259765625,0.012015972286462784,107.25021362304688,105.07918548583984,0.013461056165397167,105.250732421875,116.99581909179688,0.0063631427474319935,106.25047302246094,117.9888687133789,0.006766780745238066,91.25437927246094,132.88465881347656,0.017355777323246002,110.24943542480469,115.00971221923828,0.006564278621226549,96.2530746459961,124.94023895263672,0.003607930149883032,103.25125885009766,134.8707733154297,0.0029400892090052366,92.25411987304688,118.98192596435547,0.02260087989270687,92.25411987304688,118.98192596435547,0.003522431943565607,91.25437927246094,133.87771606445312,0.012388699688017368,91.25437927246094,132.88465881347656,0.007718345616012812,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,93.25386047363281,103.09307861328125,0.02487831562757492,93.25386047363281,103.09307861328125,0.02284831367433071,93.25386047363281,102.10002899169922,0.035889506340026855,94.25360107421875,103.09307861328125,0.03172137588262558,101.25177764892578,102.10002899169922,0.01877772808074951,95.25333404541016,114.01666259765625,0.012015972286462784,107.25021362304688,105.07918548583984,0.013461056165397167,105.250732421875,116.99581909179688,0.0063631427474319935,106.25047302246094,117.9888687133789,0.006766780745238066,91.25437927246094,132.88465881347656,0.017355777323246002,110.24943542480469,115.00971221923828,0.006564278621226549,96.2530746459961,124.94023895263672,0.003607930149883032,103.25125885009766,134.8707733154297,0.0029400892090052366,92.25411987304688,118.98192596435547,0.02260087989270687,92.25411987304688,118.98192596435547,0.003522431943565607,91.25437927246094,133.87771606445312,0.012388699688017368,91.25437927246094,132.88465881347656,0.007718345616012812,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,269.32208251953125,92.18939971923828,0.09005361795425415,269.32208251953125,91.20201873779297,0.0732642263174057,268.3417053222656,91.20201873779297,0.09693275392055511,266.38092041015625,91.20201873779297,0.1310780942440033,273.2436218261719,91.20201873779297,0.08582708984613419,263.4397888183594,97.12629699707031,0.13048122823238373,276.18475341796875,97.12629699707031,0.09372524172067642,257.5574645996094,105.02532196044922,0.10047817975282669,279.12591552734375,104.03794860839844,0.03970024362206459,259.51824951171875,107.98745727539062,0.02882084809243679,277.1651306152344,110.94960021972656,0.023525290191173553,266.38092041015625,112.92435455322266,0.04703435301780701,275.2043762207031,112.92435455322266,0.058853112161159515,268.3417053222656,124.77290344238281,0.048436589539051056,275.2043762207031,124.77290344238281,0.05456824600696564,272.2632141113281,142.54571533203125,0.03388408571481705,276.18475341796875,135.63406372070312,0.034440986812114716,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,268.07867431640625,89.51286315917969,0.10552754998207092,269.05120849609375,88.52155303955078,0.10535223037004471,267.1061706542969,88.52155303955078,0.11687696725130081,266.1336364746094,89.51286315917969,0.05221426114439964,266.1336364746094,89.51286315917969,0.03619188442826271,263.216064453125,96.45204162597656,0.07223406434059143,276.8313903808594,95.46072387695312,0.05488140508532524,279.74896240234375,106.36514282226562,0.022256793454289436,278.7764587402344,105.37383270263672,0.07186747342348099,256.40838623046875,109.33908081054688,0.01889326423406601,279.74896240234375,115.28694152832031,0.06000497564673424,266.1336364746094,110.33038330078125,0.03747399151325226,273.913818359375,111.32170104980469,0.041086263954639435,269.05120849609375,125.20004272460938,0.09430328756570816,274.8863525390625,123.21742248535156,0.05635865405201912,271.9687805175781,141.06101989746094,0.024472711607813835,275.85888671875,138.0870819091797,0.03361893445253372,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,268.15899658203125,92.20044708251953,0.10369511693716049,269.15679931640625,91.2020492553711,0.07308610528707504,267.16119384765625,91.2020492553711,0.10940269380807877,266.16339111328125,91.2020492553711,0.13101795315742493,272.15020751953125,91.2020492553711,0.05794230103492737,263.16998291015625,97.19241333007812,0.1326182335615158,275.14361572265625,97.19241333007812,0.12133069336414337,256.18536376953125,105.17955780029297,0.07180771976709366,278.13702392578125,106.1779556274414,0.08524158596992493,258.18096923828125,108.17474365234375,0.028534717857837677,277.13922119140625,111.169921875,0.03847264498472214,265.16558837890625,112.1683120727539,0.05419214814901352,274.14581298828125,112.1683120727539,0.06417826563119888,266.16339111328125,124.14903259277344,0.04120517149567604,275.14361572265625,125.14743041992188,0.056620024144649506,271.15240478515625,142.1201171875,0.041772760450839996,276.14141845703125,139.12493896484375,0.03715372830629349,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,267.4032897949219,92.20661163330078,0.11238633841276169,268.3730163574219,91.21744537353516,0.09554169327020645,267.4032897949219,91.21744537353516,0.09853412210941315,265.4638366699219,91.21744537353516,0.13929328322410583,271.28216552734375,91.21744537353516,0.08613386750221252,262.5546875,97.1524429321289,0.11060844361782074,274.1913146972656,97.1524429321289,0.09051603823900223,255.7666473388672,105.0657730102539,0.0952344462275505,278.0701904296875,106.05493927001953,0.07256714999675751,259.6455383300781,109.02243041992188,0.032434821128845215,279.0399169921875,115.94659423828125,0.019205495715141296,265.4638366699219,113.96826171875,0.061652522534132004,274.1913146972656,112.97909545898438,0.07461640983819962,268.3730163574219,127.81658935546875,0.042820412665605545,274.1913146972656,124.84909057617188,0.05274323374032974,271.28216552734375,141.6649169921875,0.057050272822380066,276.1307678222656,138.69741821289062,0.04512399807572365,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,267.4032897949219,92.20661163330078,0.11238633841276169,268.3730163574219,91.21744537353516,0.09554169327020645,267.4032897949219,91.21744537353516,0.09853412210941315,265.4638366699219,91.21744537353516,0.13929328322410583,271.28216552734375,91.21744537353516,0.08613386750221252,262.5546875,97.1524429321289,0.11060844361782074,274.1913146972656,97.1524429321289,0.09051603823900223,255.7666473388672,105.0657730102539,0.0952344462275505,278.0701904296875,106.05493927001953,0.07256714999675751,259.6455383300781,109.02243041992188,0.032434821128845215,279.0399169921875,115.94659423828125,0.019205495715141296,265.4638366699219,113.96826171875,0.061652522534132004,274.1913146972656,112.97909545898438,0.07461640983819962,268.3730163574219,127.81658935546875,0.042820412665605545,274.1913146972656,124.84909057617188,0.05274323374032974,271.28216552734375,141.6649169921875,0.057050272822380066,276.1307678222656,138.69741821289062,0.04512399807572365,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,267.4032897949219,92.20661163330078,0.11238633841276169,268.3730163574219,91.21744537353516,0.09554169327020645,267.4032897949219,91.21744537353516,0.09853412210941315,265.4638366699219,91.21744537353516,0.13929328322410583,271.28216552734375,91.21744537353516,0.08613386750221252,262.5546875,97.1524429321289,0.11060844361782074,274.1913146972656,97.1524429321289,0.09051603823900223,255.7666473388672,105.0657730102539,0.0952344462275505,278.0701904296875,106.05493927001953,0.07256714999675751,259.6455383300781,109.02243041992188,0.032434821128845215,279.0399169921875,115.94659423828125,0.019205495715141296,265.4638366699219,113.96826171875,0.061652522534132004,274.1913146972656,112.97909545898438,0.07461640983819962,268.3730163574219,127.81658935546875,0.042820412665605545,274.1913146972656,124.84909057617188,0.05274323374032974,271.28216552734375,141.6649169921875,0.057050272822380066,276.1307678222656,138.69741821289062,0.04512399807572365,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,264.9686584472656,91.03828430175781,0.09968265146017075,266.9521179199219,90.04094696044922,0.09029252827167511,263.9769287109375,90.04094696044922,0.11247076839208603,268.9355773925781,90.04094696044922,0.0958016961812973,261.99346923828125,90.04094696044922,0.06540839374065399,270.91900634765625,97.02230072021484,0.0691637396812439,260.0100402832031,97.02230072021484,0.06626197695732117,273.8941955566406,105.99833679199219,0.027629217132925987,254.05967712402344,104.003662109375,0.05239115655422211,275.8776550292969,112.97969055175781,0.021850096061825752,257.03485107421875,99.01697540283203,0.03312099352478981,268.9355773925781,109.98767852783203,0.035495590418577194,261.00177001953125,108.99034118652344,0.04005265235900879,264.9686584472656,123.95039367675781,0.0454636849462986,264.9686584472656,121.95571899414062,0.02562187798321247,267.94384765625,134.9210968017578,0.017426511272788048,272.9024658203125,133.92376708984375,0.019758285954594612,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
