frame_id,p0_nose,p0_left_eye,p0_right_eye,p0_left_ear,p0_right_ear,p0_left_shoulder,p0_right_shoulder,p0_left_elbow,p0_right_elbow,p0_left_wrist,p0_right_wrist,p0_left_hip,p0_right_hip,p0_left_knee,p0_right_knee,p0_left_ankle,p0_right_ankle,p1_nose,p1_left_eye,p1_right_eye,p1_left_ear,p1_right_ear,p1_left_shoulder,p1_right_shoulder,p1_left_elbow,p1_right_elbow,p1_left_wrist,p1_right_wrist,p1_left_hip,p1_right_hip,p1_left_knee,p1_right_knee,p1_left_ankle,p1_right_ankle,p0_average,p1_average
1,156.0631698558204,182.6677440921855,178.47080986764135,192.21297308745093,177.42377709757403,169.3412418683207,179.43328270885658,171.4918025454111,182.08126357604672,174.6080679825268,177.25051570103716,175.01551369079036,178.690525326079,168.9917973669699,167.39242734431647,151.42793453940166,154.17899240625724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.74951994451092,0.0
2,156.67361769460393,183.7983837953802,179.18326151241308,192.49806864310654,178.1026669364756,167.8966984531086,179.6152326294992,171.4129596084613,182.71735200926798,174.59696328863723,178.3425677616405,176.27077217965072,179.31360535867503,172.29425764636534,169.87811708629462,149.8470313726421,156.62241258712186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.47435109196138,0.0
3,0.8549417906900547,0.5537001753930996,0.5445007909800896,0.5724508345171054,0.5450210637504393,1.5428463863188715,0.5904239073965566,2.119891426264747,1.4957615550313963,2.137361982457484,0.744208281018366,2.5323623988305366,2.0044991267881547,2.466963222368126,2.426917705650811,1.5599820466730951,29.27547990508218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0569007411300655,0.0
4,2.0721706365576873,0.8665517697699976,0.8568129864886855,1.28120807419285,0.8530613587295173,1.2935518660085115,1.8514400357709833,0.892386062213936,2.8811759917491977,2.2524934210194187,4.787557670411935,3.4245771983674573,2.6282291731209506,2.861840511523803,2.840082020926905,47.416252247896246,2.3360923370205784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.787969609515804,0.0
5,1.9237641244616919,2.498196379259051,2.4883778410662787,1.9330594154306824,2.485089751245507,2.7672588381199987,6.875583585931701,4.210370841237431,5.802336103599424,3.778922201260138,7.729859192139434,3.3341212986530158,4.691689758767853,5.567307906574488,6.90120768102956,30.308479078209185,36.2404288208591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.619767812814384,0.0
6,1.9840286588110994,1.2127723484767097,1.2576213469151787,1.143085353113573,0.7300872526878986,0.9378426806246173,1.0410776313302637,0.7397052585233673,2.0575200489856846,1.4444439421560236,3.973066513490528,4.302118331992657,5.134132849128864,2.7520417773801777,2.151956807352112,4.803712102522867,1.978372880612634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.214328575535544,0.0
7,0.5872380488366215,1.0231813464441428,0.43090314301553695,0.5076638568716885,2.3825104934888253,1.980810181177175,1.440098652705512,1.1626249196606069,4.88178241326694,1.6663157867439202,2.5259687433355533,1.8597332675990803,3.5999399531177976,2.75255231467206,2.4394029335072833,6.894423060084996,1.0631969502923058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1881380038129437,0.0
8,2.1962855321874653,3.037181190196687,1.8098327892476611,2.141623067030329,1.5143322889277862,0.4750489612928712,2.7639184436247457,1.9531088734199418,3.7452328403366693,1.3604605449707583,3.4123489643295013,3.6546550447267285,4.685772026695128,0.7376485662127304,3.779757367894208,4.258007710306234,38.48121427260756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.706260499059235,0.0
9,1.6612981488179315,0.7767790314172577,1.6642765000747641,0.7490081852776846,0.7479228519251082,3.042605699673372,1.5779588903930473,0.8992011495704249,6.562576196042273,2.6063145736572335,2.8776491670181175,2.012683945188299,2.8816870034379987,2.386915386597722,2.906036874496165,1.3628810392308068,1.3575641195634895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1219622801401,0.0
10,5.529429407402712,5.753182867632109,5.727923182708116,5.797810330963351,4.377747418585372,5.561311397516783,6.618497847762918,9.85342609977553,3.210129621284584,3.1424440577358443,2.946328578119112,6.584520702253953,3.6755976057505926,3.3420667219221842,4.297533788707397,0.3125876437904284,1.7290947426217969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.615272471443104,0.0
11,2.1033359992178187,3.0664333440352824,2.113348621014624,2.111198056600948,16.185345640766847,0.9540814719237247,1.534098952762416,3.293038604276538,0.8631227541167222,1.9269217990313294,0.8348680783733682,2.146827192727292,5.223716828276259,0.6682195264161355,0.426295609566787,0.5637264367064355,0.5500226715140208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6214471521956795,0.0
12,1.9003559011485178,1.896751456346588,2.416811376573408,2.4554107433418317,1.9106821170087513,0.7493019750225345,1.7010167039621547,5.750939616798028,1.9203510629959164,3.0070014006390036,2.5247114325146454,2.184776458533484,2.0314675932691024,3.3105884476248524,1.6888345971166332,0.2748955887562517,0.8449074111960144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.151106110755748,0.0
13,2.5332339283851413,2.523905067299808,2.188301165359723,2.1732863636781694,2.484692141367673,1.1570154762345906,3.1425798670554683,4.936220871660819,11.567061679904464,4.795077506150135,5.291702588203996,0.07853016250214476,1.5502731611082798,2.7136534268733135,20.320312593686538,0.9457112518823642,0.9457846523479266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.079255406100033,0.0
14,0.5518964165056872,0.5689092893835714,0.4492679940189534,0.3784806311162829,14.55732979444091,1.0745601202674069,1.1791659182630676,0.3453192829419571,11.685263325211304,0.43489082737690343,0.5704148811797076,0.26273848753162604,1.1377415345793513,0.8799172871247026,0.34148671928095053,0.7671229036966412,1.445264419596841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1546923430891685,0.0
15,7.59090617759682,5.364275076030361,5.8671002794622895,4.96961564967957,18.802473771404703,6.99381650696006,16.82060569588985,13.080590572877389,19.75049736160714,10.94786463876892,5.614294525875943,6.956379145578066,19.30904514953365,2.3290972194291255,2.975867910995115,0.27096069250765836,1.1130701443178785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.750380030500855,0.0
16,2.735298901289422,2.753360298712625,3.319869893600453,1.925276200709801,1.9178033658980158,2.778420256577324,3.8207421439138067,2.1539230217910226,13.592825498483975,5.038004176155186,10.400254093984357,3.550397080528007,2.621092466589987,1.984394280483603,3.595555122293628,0.7554490240938013,2.3236885099576603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.839197313827216,0.0
17,1.473877700409282,0.8307379829066973,0.5848094253597828,1.5442762463570192,0.8488656780524322,1.549036267570989,1.4248457946658353,4.4345496958341775,3.6351655589718157,7.791496424741022,53.4510883226042,1.712043932456679,4.267192733726562,3.3199982660273273,0.8075548632858491,0.9493904288427997,0.6698848892100534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.252636130060147,0.0
18,3.041648320330593,2.1807076069818727,3.6818748792006275,2.880120870241508,1.5004451362546678,1.271331814946528,3.729200823409959,4.298439791540149,4.025384469955344,7.571668544331273,8.31621164442318,0.9107731358889763,2.3508536387344527,0.5718765311207624,0.5691458489447304,0.4843421783594362,0.7848406962393782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8334627018178495,0.0
19,1.1196369653512384,1.2155349297890918,2.2072234315350405,0.9051984626828956,2.90718867572294,0.23591265334419603,1.5489157370091697,4.0796091470769635,3.26800803212062,6.262597532831048,7.216943517196506,2.0657439200255885,2.110460243985769,1.105950281404693,0.8146229876711363,0.43041266918292675,0.4312884271517001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.230896918475384,0.0
20,4.329349542612976,4.34252235173369,2.3849120653693623,5.5198955898688356,2.043296724857101,7.446393338036133,1.394893891017916,14.955878266403746,3.3450519523570157,17.246475412515984,4.812356872895709,2.01970980724611,2.00522186870259,4.494652825954429,3.7508389914328872,6.574842889818442,7.4543066679052075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.536505826984007,0.0
