frame_id,p0_nose_x,p0_nose_y,p0_nose_c,p0_left_eye_x,p0_left_eye_y,p0_left_eye_c,p0_right_eye_x,p0_right_eye_y,p0_right_eye_c,p0_left_ear_x,p0_left_ear_y,p0_left_ear_c,p0_right_ear_x,p0_right_ear_y,p0_right_ear_c,p0_left_shoulder_x,p0_left_shoulder_y,p0_left_shoulder_c,p0_right_shoulder_x,p0_right_shoulder_y,p0_right_shoulder_c,p0_left_elbow_x,p0_left_elbow_y,p0_left_elbow_c,p0_right_elbow_x,p0_right_elbow_y,p0_right_elbow_c,p0_left_wrist_x,p0_left_wrist_y,p0_left_wrist_c,p0_right_wrist_x,p0_right_wrist_y,p0_right_wrist_c,p0_left_hip_x,p0_left_hip_y,p0_left_hip_c,p0_right_hip_x,p0_right_hip_y,p0_right_hip_c,p0_left_knee_x,p0_left_knee_y,p0_left_knee_c,p0_right_knee_x,p0_right_knee_y,p0_right_knee_c,p0_left_ankle_x,p0_left_ankle_y,p0_left_ankle_c,p0_right_ankle_x,p0_right_ankle_y,p0_right_ankle_c,p1_nose_x,p1_nose_y,p1_nose_c,p1_left_eye_x,p1_left_eye_y,p1_left_eye_c,p1_right_eye_x,p1_right_eye_y,p1_right_eye_c,p1_left_ear_x,p1_left_ear_y,p1_left_ear_c,p1_right_ear_x,p1_right_ear_y,p1_right_ear_c,p1_left_shoulder_x,p1_left_shoulder_y,p1_left_shoulder_c,p1_right_shoulder_x,p1_right_shoulder_y,p1_right_shoulder_c,p1_left_elbow_x,p1_left_elbow_y,p1_left_elbow_c,p1_right_elbow_x,p1_right_elbow_y,p1_right_elbow_c,p1_left_wrist_x,p1_left_wrist_y,p1_left_wrist_c,p1_right_wrist_x,p1_right_wrist_y,p1_right_wrist_c,p1_left_hip_x,p1_left_hip_y,p1_left_hip_c,p1_right_hip_x,p1_right_hip_y,p1_right_hip_c,p1_left_knee_x,p1_left_knee_y,p1_left_knee_c,p1_right_knee_x,p1_right_knee_y,p1_right_knee_c,p1_left_ankle_x,p1_left_ankle_y,p1_left_ankle_c,p1_right_ankle_x,p1_right_ankle_y,p1_right_ankle_c
0,48.20652389526367,0.4999408423900604,0.05943654850125313,51.18836975097656,0.4999408423900604,0.014516876079142094,44.23072814941406,0.4999408423900604,0.029176419600844383,31.309391021728516,17.497928619384766,0.01535177044570446,82.00078582763672,10.498757362365723,0.013232984580099583,7.454617023468018,35.49580001831055,0.01772281713783741,95.91606903076172,37.49556350708008,0.07960712909698486,63.11575698852539,53.49367141723633,0.006886928807944059,11.430412292480469,8.498993873596191,0.013862630352377892,48.20652389526367,0.4999408423900604,0.003478212980553508,16.400157928466797,14.498284339904785,0.0077986647374928,77.03104400634766,25.49698257446289,0.032637473195791245,29.32149314880371,24.497100830078125,0.01887037791311741,16.400157928466797,53.49367141723633,0.017222626134753227,15.406208038330078,52.49378967285156,0.01423819363117218,75.04314422607422,66.49213409423828,0.005737779662013054,11.430412292480469,27.496746063232422,0.0056342328898608685,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,196.32325744628906,98.0161361694336,0.05024026334285736,196.32325744628906,96.0193099975586,0.05493735894560814,197.3075408935547,95.02088928222656,0.08156081289052963,198.2918243408203,97.0177230834961,0.1298191100358963,202.22897338867188,96.0193099975586,0.07992319762706757,202.22897338867188,101.0113754272461,0.09315013885498047,207.150390625,98.0161361694336,0.08255498111248016,203.2132568359375,108.99868774414062,0.07349900156259537,204.19754028320312,110.99551391601562,0.012429251335561275,199.276123046875,119.98123931884766,0.0486852191388607,200.26040649414062,119.98123931884766,0.030500704422593117,211.08753967285156,109.99710083007812,0.06488936394453049,216.0089569091797,108.00027465820312,0.051031991839408875,204.19754028320312,118.98282623291016,0.08210436999797821,217.9775390625,118.98282623291016,0.0419854037463665,205.18182373046875,131.9622039794922,0.043329156935214996,231.7575225830078,126.97013854980469,0.027553552761673927,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,197.31642150878906,99.71286010742188,0.11404921114444733,197.31642150878906,98.73029327392578,0.1251007467508316,197.31642150878906,97.74772644042969,0.03872155398130417,199.28485107421875,98.73029327392578,0.12517832219600677,202.2374725341797,97.74772644042969,0.04933840036392212,202.2374725341797,103.64310455322266,0.11130999773740768,208.14273071289062,99.71286010742188,0.052298981696367264,203.2216796875,113.46873474121094,0.1165316104888916,206.17431640625,136.06768798828125,0.025810888037085533,201.25326538085938,120.34667205810547,0.11644422262907028,202.2374725341797,119.3641128540039,0.050013717263936996,210.1111602783203,113.46873474121094,0.04702011123299599,217.00062561035156,108.55592346191406,0.04363949969410896,205.1901092529297,119.3641128540039,0.07349266856908798,217.00062561035156,119.3641128540039,0.026837334036827087,206.17431640625,133.1199951171875,0.0212766844779253,227.82693481445312,129.1897430419922,0.028746431693434715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,196.83998107910156,100.01235961914062,0.10558408498764038,197.83053588867188,99.03244018554688,0.07886068522930145,198.82107543945312,98.05252838134766,0.05641581118106842,199.81163024902344,99.03244018554688,0.10467379540205002,201.79270935058594,98.05252838134766,0.05200597643852234,202.78326416015625,102.95210266113281,0.08755794167518616,212.688720703125,100.01235961914062,0.05246896669268608,202.78326416015625,112.75125122070312,0.06797485053539276,202.78326416015625,113.73117065429688,0.03482376039028168,202.78326416015625,122.55039978027344,0.06009501963853836,201.79270935058594,122.55039978027344,0.040450967848300934,210.70762634277344,114.7110824584961,0.016655078157782555,216.65090942382812,106.87176513671875,0.028426308184862137,204.7643585205078,124.5102310180664,0.07281050086021423,216.65090942382812,120.59056854248047,0.07829252630472183,205.75489807128906,134.30938720703125,0.07891912758350372,224.57528686523438,129.40980529785156,0.015029460191726685,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,197.61074829101562,100.52086639404297,0.09157930314540863,198.6097412109375,98.55488586425781,0.07845804840326309,197.61074829101562,98.55488586425781,0.053343091160058975,199.6087188720703,98.55488586425781,0.09317867457866669,202.60569763183594,97.5718994140625,0.03730102628469467,201.60670471191406,104.45282745361328,0.05922293663024902,210.59762573242188,100.52086639404297,0.030207360163331032,200.6077117919922,113.29973602294922,0.059189897030591965,200.6077117919922,113.29973602294922,0.0419575460255146,196.61175537109375,119.19767761230469,0.05924227833747864,197.61074829101562,118.21469116210938,0.0438983179628849,210.59762573242188,113.29973602294922,0.040334753692150116,215.5925750732422,113.29973602294922,0.06914810836315155,204.6036834716797,126.07861328125,0.0768817663192749,215.5925750732422,124.11262512207031,0.08383266627788544,205.60267639160156,135.90850830078125,0.07181133329868317,221.58653259277344,130.99356079101562,0.014793640933930874,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,93.42341613769531,34.48313522338867,0.16145606338977814,97.39967346191406,28.486068725585938,0.21144171059131622,73.54206085205078,26.48704719543457,0.2098839432001114,98.39375305175781,24.48802375793457,0.03756653144955635,40.73783874511719,41.479713439941406,0.2165829986333847,104.358154296875,80.46064758300781,0.032815538346767426,36.76156997680664,80.46064758300781,0.01431081723421812,104.358154296875,80.46064758300781,0.030789218842983246,19.862424850463867,80.46064758300781,0.01160857267677784,81.49459838867188,76.46260833740234,0.018439214676618576,56.64291763305664,70.46553802490234,0.02385418862104416,86.46493530273438,24.48802375793457,0.03110540099442005,50.67851257324219,80.46064758300781,0.009729725308716297,104.358154296875,80.46064758300781,0.020279277116060257,69.5657958984375,72.46456146240234,0.020577695220708847,71.55392456054688,19.490468978881836,0.09887536615133286,71.55392456054688,20.489978790283203,0.05288626626133919,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,197.7909393310547,98.29661560058594,0.05375279486179352,197.7909393310547,96.32917022705078,0.04033762216567993,198.7874755859375,95.34544372558594,0.05001414194703102,199.78399658203125,97.3128890991211,0.08080438524484634,203.77011108398438,96.32917022705078,0.05735572427511215,201.7770538330078,101.2477798461914,0.07180964946746826,208.75274658203125,99.28033447265625,0.04192284494638443,196.79441833496094,108.13384246826172,0.0521615669131279,197.7909393310547,108.13384246826172,0.019846340641379356,195.79788208007812,112.06873321533203,0.03274023160338402,208.75274658203125,122.88969421386719,0.00915942620486021,208.75274658203125,114.03617858886719,0.06660675257444382,213.73538208007812,112.06873321533203,0.04957990720868111,204.76663208007812,122.88969421386719,0.042577046900987625,214.73191833496094,121.90596771240234,0.06832896173000336,203.77011108398438,130.7594757080078,0.039591021835803986,216.7249755859375,130.7594757080078,0.03957515209913254,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,198.41976928710938,98.1198959350586,0.05465758964419365,198.41976928710938,97.12911987304688,0.07261309772729874,198.41976928710938,96.13834381103516,0.06698434054851532,200.36029052734375,97.12911987304688,0.07742170244455338,204.24130249023438,96.13834381103516,0.06336767226457596,204.24130249023438,100.1014404296875,0.06725144386291504,208.12232971191406,99.11067199707031,0.04573621228337288,196.47926330566406,106.04609680175781,0.035789452493190765,219.76539611816406,102.08299255371094,0.010673319920897484,208.12232971191406,113.97229766845703,0.03532654792070389,205.21156311035156,97.12911987304688,0.01670273393392563,208.12232971191406,113.97229766845703,0.08472134172916412,212.97360229492188,112.98152160644531,0.049649231135845184,201.33053588867188,126.85237121582031,0.04577416926622391,201.33053588867188,126.85237121582031,0.028257867321372032,215.88436889648438,132.79702758789062,0.016164861619472504,199.39002990722656,135.76934814453125,0.046894993633031845,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,197.29324340820312,97.06287384033203,0.05305272713303566,198.28245544433594,95.08979797363281,0.04145905002951622,197.29324340820312,95.08979797363281,0.030749542638659477,199.27166748046875,95.08979797363281,0.0696275383234024,203.228515625,94.10325622558594,0.04252917692065239,203.228515625,99.03594970703125,0.046074870973825455,209.1637725830078,99.03594970703125,0.055683642625808716,195.3148193359375,107.91481018066406,0.014746711589396,212.13140869140625,98.0494155883789,0.010945223271846771,194.3256072998047,136.52444458007812,0.011107312515377998,211.14219665527344,94.10325622558594,0.01331091858446598,206.19613647460938,112.84750366210938,0.060324616730213165,212.13140869140625,111.8609619140625,0.07328394800424576,201.25009155273438,122.712890625,0.025068623945116997,213.12062072753906,120.73982238769531,0.04234781116247177,214.10983276367188,132.5782928466797,0.03740526735782623,214.10983276367188,130.60520935058594,0.04504131153225899,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,196.58665466308594,95.9669189453125,0.05757023021578789,196.58665466308594,93.9890365600586,0.07932576537132263,196.58665466308594,93.9890365600586,0.05001954361796379,198.5721435546875,93.9890365600586,0.10384389758110046,202.54310607910156,92.01114654541016,0.08305548876523972,202.54310607910156,97.94480895996094,0.1399804949760437,207.5068359375,95.9669189453125,0.08302373439073563,206.5140838623047,106.84530639648438,0.045655280351638794,212.47055053710938,101.90058898925781,0.02681686170399189,203.53585815429688,115.74580383300781,0.03667566180229187,214.45602416992188,114.75686645507812,0.02779281884431839,206.5140838623047,111.79003143310547,0.07633791863918304,212.47055053710938,109.81214141845703,0.04443962499499321,200.5576171875,119.70158386230469,0.07736168801784515,212.47055053710938,120.6905288696289,0.06976521015167236,196.58665466308594,131.56890869140625,0.026350852102041245,197.5793914794922,129.59103393554688,0.021117715165019035,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
