frame_id,p0_nose,p0_left_eye,p0_right_eye,p0_left_ear,p0_right_ear,p0_left_shoulder,p0_right_shoulder,p0_left_elbow,p0_right_elbow,p0_left_wrist,p0_right_wrist,p0_left_hip,p0_right_hip,p0_left_knee,p0_right_knee,p0_left_ankle,p0_right_ankle,p1_nose,p1_left_eye,p1_right_eye,p1_left_ear,p1_right_ear,p1_left_shoulder,p1_right_shoulder,p1_left_elbow,p1_right_elbow,p1_left_wrist,p1_right_wrist,p1_left_hip,p1_right_hip,p1_left_knee,p1_right_knee,p1_left_ankle,p1_right_ankle,p0_average,p1_average
1,0.0030378501608087404,0.003210017316652134,0.003297310985645894,0.003856249522467264,0.003672901781058841,0.0028906949299008777,0.003093895865984956,0.0012797385465247654,0.0013798029472202515,0.0009425930915210267,0.0009401197388152687,0.0012609522058794598,0.0014186571410118969,0.0023406206538385396,0.0026476967065308596,0.004607876396641661,0.005077761857179748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026443964616283643,0.0
2,0.007378003210311108,0.008031922772352805,0.008389507164407877,0.010569134926631406,0.009842392074686278,0.007063834696429274,0.008102348744020549,0.003701726876872629,0.004212420802121829,0.0070130861962539055,0.007036932662197713,0.00746230061172245,0.008961184259623965,0.013433006725396929,0.9867827798096299,0.022145677536271433,0.02411773615800906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067308470307467,0.0
3,0.14663210889580505,0.13371868201002723,0.12743215783129935,0.09017327379529204,0.10252253308355483,0.1604611413836362,1.2829785031540697,0.28828392418471355,0.28242244407126893,0.390012191860241,0.5991085639162584,0.3299529464108141,0.332334295989359,0.5057692839349852,0.48102258390433394,0.3294120726825823,1.6653151251303533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4263265783669761,0.0
4,0.07167119534896153,0.07378749229122072,0.07269043682131922,0.06823890151883433,0.06936723085197045,0.06522922624039364,0.06195200087175657,0.06045744236055009,1.006990327592718,0.060072689805758105,0.06226642369412603,0.04695501365469166,0.04072326175436217,0.05275245252895652,0.04790955066103784,0.05081001771313708,0.04663417714484133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11520634357968444,0.0
5,0.14890106124990357,0.15232238023604414,0.15091564466500731,1.058802879649412,0.14682664561123882,0.1392301793188687,0.13472453645082522,0.12850038617814513,0.1253440646080481,0.12480186707708053,0.127761768836276,0.8941505955971482,0.0981170360164937,0.10983203019609779,1.4939689155004017,0.10067922961260872,0.09196860022156768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3074616365308922,0.0
6,1.1109594327879855,0.30586146275783993,0.30034595357396543,0.7750690104973771,0.2791968606101739,0.3188773082276376,1.3271697607039676,0.6147322158898335,1.0566214452411287,0.5307050868197738,0.5211245667543879,0.4413941603773073,0.5772395154894078,0.975324700889623,0.4106000616509361,1.2778775481629046,0.26069946867791177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6519881505360096,0.0
7,0.014343426074445853,0.014757396853320306,0.014950734464723978,0.016906698688226605,0.0161249884066614,0.012752057681982055,0.012743144526230226,0.014803384809124638,0.014696622118375236,0.9790146421619143,0.02457145501772047,0.017230868893346345,0.01614957392467482,0.03423241227154671,0.03659080285772843,0.05133092247366586,0.05592893909314491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07924282766569601,0.0
8,0.024931016944827338,0.025203234560046063,0.02539441190502909,0.026650693850820844,0.026212238076613773,0.9753184439879583,0.02437127178058022,0.01944509218772388,0.019419499418867392,0.015661472727191005,0.015297634270540561,0.017602440123471782,0.017837623941814432,0.011306875951614158,0.010299685442888791,0.005141125119877062,0.0035221040151986105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07433028613559196,0.0
9,0.028598037156331364,0.9878771441285743,0.028319594152153342,0.029183901082982425,0.02899784223826421,0.031604076877537746,0.03304205774250295,0.036690154126039626,0.9583301779532661,0.04051558197503209,0.03994340052207815,0.04229433013037007,0.04470664011682922,1.4050430870746533,0.04953136665574184,1.0398890240442786,0.0573155317759121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28716952633838516,0.0
10,0.05703526345592942,1.0131158779679426,0.05718212623896842,0.05683648225516682,0.056866714576848894,0.055414420644657424,0.05463418959231207,0.05336101292097186,0.05291992014680625,0.052765953799023366,0.05344315663801725,0.05063071542798943,0.0491353218184212,0.05185260335994158,0.050740985427556784,0.0531454401103249,1.4546755465018688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19257386652251451,0.0
11,0.7037218264614229,0.2941032885962057,0.2873598794264873,0.24722928525249158,0.2605375883995673,0.6898132201426398,0.3067789437772075,0.4489801815158058,0.4489012202385407,0.5581669982107069,0.571955449098024,0.5044181297520536,0.5110272953494789,0.6881623161377883,0.2936651575612091,0.8666528803567007,0.11334846024749519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4585189482661074,0.0
12,0.8764726752672459,0.8208174218755161,1.1814611986381554,1.1639195681874337,0.8269826624115315,0.8311655670154424,0.8353574226932856,0.8291097855132071,0.8325025815440885,0.8265562049875247,1.7990585723420025,0.7240347274176467,0.8665483462959368,0.8331061985156657,1.3045099854923978,0.8325476586087419,1.0230320448563401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9651283895095389,0.0
13,0.38399908494144247,0.5918791414453365,0.38410883097900955,0.3463980766716422,1.2043351093284873,1.01386779183764,0.7064037470880279,0.2780771602951314,1.0106208193975028,0.25858517343367377,0.28721196302688917,0.15376696704512974,0.09664443606415171,0.1918091882991745,0.9925042360459586,0.15558205679685186,0.10981241028600004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48032977605776767,0.0
14,0.20588705582629752,0.2109839644296354,0.20600337323458295,0.186306277311023,1.234207151056537,0.17068156804189952,0.15115038589040602,0.14957781541610593,0.1397166185730511,0.1385942841439453,0.15324575287801248,0.08789300948458223,0.06449611992633596,0.10318811384747512,2.2098400961695437,0.08199245416773702,0.05933141734241808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3266526739846817,0.0
15,0.23640964861508176,0.24317567447623825,0.23638712241655938,0.20916977308701604,0.7723432781635551,0.18896413542370777,0.1618327464933836,0.9868285479452199,0.14874402899864228,0.149100270219479,0.16939341098850846,0.07543340252867403,0.037697539393460266,0.10297846877782994,1.0197811044355292,0.07846432881073083,0.04929062965195242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2862349476720923,0.0
16,0.8772054549298656,0.519997454116408,0.5256174355864561,0.7232995681653634,0.7069359400711324,0.5579156097948171,2.139382683752972,0.5666579190961702,0.6515423463787964,0.6434085005899693,1.693508969450841,0.8252572438458281,0.548947728520289,0.5903722313160613,0.8580286822962883,0.5518142283132053,0.6400391546516481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8011724206397712,0.0
17,0.11930152022936423,0.12435683733925611,0.9049045821804393,1.385968376878826,0.13713421896231626,0.9037547001737175,0.11659794292431004,0.08790599105873442,0.08908091640172082,0.10604050859401006,0.9246852299366917,0.09675475088027904,0.09842009462635243,1.1315537581073847,0.8564968383158965,0.24869463112095938,0.2707443061011856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44719971787243784,0.0
18,0.8084297938615143,0.8235682915830306,0.2835333310093998,0.24992843216814692,0.2599729051789029,1.1247428375154411,1.6622669311851466,0.35126302045019797,1.0796194001592048,1.8028818346057134,0.4396875206705684,0.36291953161700724,0.6503956571876893,0.5014156333193045,2.532650836550289,0.38952614034982624,1.1115826398481419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8490814551329132,0.0
19,0.07799592829939066,0.07941741636993305,0.07813932317327457,0.07326294922615285,0.07443397343515448,0.06837083175566265,0.9767547533812709,0.0617135625934788,0.05892792812870739,1.361782052511908,0.06228494151889729,0.043638047921936325,0.03423306265570962,0.046825375838569085,0.037137533001636684,0.0419300063919218,0.035565435494755236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18896547774696232,0.0
