frame_id,p0_nose,p0_left_eye,p0_right_eye,p0_left_ear,p0_right_ear,p0_left_shoulder,p0_right_shoulder,p0_left_elbow,p0_right_elbow,p0_left_wrist,p0_right_wrist,p0_left_hip,p0_right_hip,p0_left_knee,p0_right_knee,p0_left_ankle,p0_right_ankle,p1_nose,p1_left_eye,p1_right_eye,p1_left_ear,p1_right_ear,p1_left_shoulder,p1_right_shoulder,p1_left_elbow,p1_right_elbow,p1_left_wrist,p1_right_wrist,p1_left_hip,p1_right_hip,p1_left_knee,p1_right_knee,p1_left_ankle,p1_right_ankle,p0_average,p1_average
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,25.5754163589821,27.82503421088527,31.586045154360367,39.691748430356,41.7221263291114,35.87019061796556,21.75643838608744,56.7071470404631,37.125894076832076,32.958783996762406,41.860323887212594,58.76405102061808,53.336708979861356,11.053202927314175,10.213369625549406,31.500409733460465,30.377904439129065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.58381148323241,0.0
5,256.51039297481344,261.4399703069305,264.5050704022641,277.97110011748714,275.5939696989995,284.98346728049245,250.592927465469,292.66105342479983,274.3511539206788,273.5087063462112,264.61438515514374,285.41157607748124,275.9688594549247,238.62309205167875,235.87213960050642,219.5658827290474,216.12871391087256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.66485064222354,0.0
6,262.3028251629704,262.30827635550907,261.3243823642684,263.34400241735733,260.32913026634185,265.2876627307171,267.11812412045276,263.44301859632515,266.0968871477699,269.08297202528064,265.12875669204584,263.26380619274795,265.153556443033,265.5373286579337,267.74520087043925,267.14547263686046,266.25026453185234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.75656865952385,0.0
7,3.1665690109138875,3.1389692340875075,4.184660923516374,2.1269582214954768,2.321515295206042,0.389230837873655,1.5591023154395185,4.893651474232688,2.6280209875166216,0.8904918775941347,7.9798986233482,3.1077480837290974,0.7074260576292111,1.7559612383722325,0.46979938859172926,1.9846828872564068,2.769656020893798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5926083810409755,0.0
8,4.524515643815403,3.7107384590486356,3.6442128739459068,5.908504865841323,3.8885319073413123,4.749082482017428,2.5835845429374382,5.1058782464918835,7.307213268786446,19.028772454253417,16.36153177835518,9.623066824683113,3.6030793158427983,17.14832452634964,17.32118815501358,9.654268212576158,4.3824782649177925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.14970422483632,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
