frame_id,p0_nose_x,p0_nose_y,p0_nose_c,p0_left_eye_x,p0_left_eye_y,p0_left_eye_c,p0_right_eye_x,p0_right_eye_y,p0_right_eye_c,p0_left_ear_x,p0_left_ear_y,p0_left_ear_c,p0_right_ear_x,p0_right_ear_y,p0_right_ear_c,p0_left_shoulder_x,p0_left_shoulder_y,p0_left_shoulder_c,p0_right_shoulder_x,p0_right_shoulder_y,p0_right_shoulder_c,p0_left_elbow_x,p0_left_elbow_y,p0_left_elbow_c,p0_right_elbow_x,p0_right_elbow_y,p0_right_elbow_c,p0_left_wrist_x,p0_left_wrist_y,p0_left_wrist_c,p0_right_wrist_x,p0_right_wrist_y,p0_right_wrist_c,p0_left_hip_x,p0_left_hip_y,p0_left_hip_c,p0_right_hip_x,p0_right_hip_y,p0_right_hip_c,p0_left_knee_x,p0_left_knee_y,p0_left_knee_c,p0_right_knee_x,p0_right_knee_y,p0_right_knee_c,p0_left_ankle_x,p0_left_ankle_y,p0_left_ankle_c,p0_right_ankle_x,p0_right_ankle_y,p0_right_ankle_c,p1_nose_x,p1_nose_y,p1_nose_c,p1_left_eye_x,p1_left_eye_y,p1_left_eye_c,p1_right_eye_x,p1_right_eye_y,p1_right_eye_c,p1_left_ear_x,p1_left_ear_y,p1_left_ear_c,p1_right_ear_x,p1_right_ear_y,p1_right_ear_c,p1_left_shoulder_x,p1_left_shoulder_y,p1_left_shoulder_c,p1_right_shoulder_x,p1_right_shoulder_y,p1_right_shoulder_c,p1_left_elbow_x,p1_left_elbow_y,p1_left_elbow_c,p1_right_elbow_x,p1_right_elbow_y,p1_right_elbow_c,p1_left_wrist_x,p1_left_wrist_y,p1_left_wrist_c,p1_right_wrist_x,p1_right_wrist_y,p1_right_wrist_c,p1_left_hip_x,p1_left_hip_y,p1_left_hip_c,p1_right_hip_x,p1_right_hip_y,p1_right_hip_c,p1_left_knee_x,p1_left_knee_y,p1_left_knee_c,p1_right_knee_x,p1_right_knee_y,p1_right_knee_c,p1_left_ankle_x,p1_left_ankle_y,p1_left_ankle_c,p1_right_ankle_x,p1_right_ankle_y,p1_right_ankle_c
0,155.33688354492188,87.28699493408203,0.5738651156425476,156.33502197265625,83.29505920410156,0.6051543951034546,151.3443603515625,83.29505920410156,0.6081938743591309,157.33314514160156,88.28498077392578,0.26720747351646423,138.36868286132812,88.28498077392578,0.7115344405174255,161.32566833496094,108.24467468261719,0.4176808297634125,126.39112091064453,107.24668884277344,0.4292554557323456,195.2620849609375,118.22451782226562,0.3387308716773987,92.45470428466797,106.24870300292969,0.39680933952331543,223.209716796875,117.22653198242188,0.4552338719367981,105.43038940429688,89.282958984375,0.6196369528770447,157.33314514160156,170.11972045898438,0.28705108165740967,134.37615966796875,170.11972045898438,0.25899213552474976,156.33502197265625,224.01087951660156,0.26789504289627075,124.39485931396484,219.02096557617188,0.40485310554504395,155.33688354492188,235.9866943359375,0.451554536819458,122.39859771728516,235.9866943359375,0.3028688132762909,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,157.32061767578125,87.49698638916016,0.5815916657447815,157.32061767578125,83.514892578125,0.592380702495575,152.3484649658203,83.514892578125,0.690823495388031,158.31503295898438,87.49698638916016,0.2815849483013153,139.42086791992188,88.49250793457031,0.6990671157836914,161.29833984375,107.4074478149414,0.4287853240966797,126.4932861328125,106.41192626953125,0.3889800012111664,195.10894775390625,117.36267852783203,0.41420257091522217,93.67709350585938,106.41192626953125,0.46104809641838074,224.9418487548828,117.36267852783203,0.469536155462265,105.61026000976562,88.49250793457031,0.5548878312110901,158.31503295898438,170.12539672851562,0.28999826312065125,135.44314575195312,169.1298828125,0.2629638910293579,157.32061767578125,221.89260864257812,0.33687207102775574,125.49885559082031,217.9105224609375,0.3727062940597534,155.33175659179688,234.83441162109375,0.437563955783844,122.51556396484375,234.83441162109375,0.2967672348022461,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,158.13226318359375,88.14827728271484,0.610949695110321,158.13226318359375,84.15682983398438,0.6595271229743958,153.151123046875,84.15682983398438,0.6143484711647034,158.13226318359375,88.14827728271484,0.29306453466415405,140.2001495361328,88.14827728271484,0.7445823550224304,163.11338806152344,107.10765075683594,0.47139623761177063,127.24919128417969,108.10551452636719,0.3682836890220642,193.9964599609375,118.08413696289062,0.26777005195617676,94.3736801147461,107.10765075683594,0.4788264334201813,225.875732421875,118.08413696289062,0.473107248544693,105.33218383789062,89.14613342285156,0.467041552066803,159.12847900390625,170.9708251953125,0.24638311564922333,135.21902465820312,170.9708251953125,0.24247395992279053,157.13601684570312,223.85751342773438,0.3754419684410095,126.25296783447266,218.86822509765625,0.34437063336372375,157.13601684570312,235.83187866210938,0.3328797221183777,124.26051330566406,235.83187866210938,0.22271214425563812,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,158.727783203125,88.84797668457031,0.8042445182800293,158.727783203125,84.86205291748047,0.730037271976471,153.75169372558594,84.86205291748047,0.8238535523414612,158.727783203125,88.84797668457031,0.31409481167793274,140.81385803222656,88.84797668457031,0.671358585357666,161.71343994140625,107.7811050415039,0.48137056827545166,126.88079833984375,107.7811050415039,0.37853431701660156,193.5604248046875,118.74238586425781,0.2736586034297943,95.0338134765625,106.78462219238281,0.4353644847869873,225.40740966796875,118.74238586425781,0.5576127767562866,107.9716567993164,85.85853576660156,0.42343056201934814,158.727783203125,171.55584716796875,0.276069700717926,134.84254455566406,172.55233764648438,0.23093686997890472,157.73257446289062,223.37283325195312,0.28986385464668274,125.88558197021484,219.38690185546875,0.34527498483657837,157.73257446289062,234.3341064453125,0.27460843324661255,123.8951416015625,234.3341064453125,0.2590520977973938,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,155.45513916015625,90.9548110961914,0.8252240419387817,156.4529571533203,86.95515441894531,0.8128247261047363,150.46597290039062,86.95515441894531,0.8457615971565247,156.4529571533203,89.95489501953125,0.2962978482246399,137.494140625,89.95489501953125,0.6924570798873901,160.4442901611328,109.95320129394531,0.5506377816200256,125.52014923095703,109.95320129394531,0.4767874479293823,191.37710571289062,120.9522705078125,0.3886246681213379,93.5895004272461,106.95345306396484,0.42425820231437683,223.30775451660156,120.9522705078125,0.6478986144065857,110.55265808105469,84.955322265625,0.4363442063331604,157.45079040527344,173.94776916503906,0.24561868607997894,132.50497436523438,173.94776916503906,0.2397060990333557,155.45513916015625,225.943359375,0.29922229051589966,123.52448272705078,223.9435272216797,0.3399490416049957,155.45513916015625,234.94259643554688,0.32758811116218567,121.52881622314453,234.94259643554688,0.2901380956172943,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,156.0929718017578,93.07439422607422,0.7819093465805054,156.0929718017578,88.09386444091797,1.1936349868774414,151.10580444335938,88.09386444091797,1.1840423345565796,156.0929718017578,91.08218383789062,0.2940642237663269,138.13919067382812,91.08218383789062,0.5132351517677307,161.08013916015625,111.00430297851562,0.5143694877624512,125.17257690429688,111.00430297851562,0.4653159976005554,190.00564575195312,120.9653549194336,0.2922074794769287,92.25733184814453,108.01597595214844,0.2963239550590515,221.92347717285156,120.9653549194336,0.5237260460853577,110.21110534667969,87.09776306152344,0.4781603515148163,157.09039306640625,174.75506591796875,0.26015469431877136,132.15460205078125,174.75506591796875,0.23409152030944824,154.09811401367188,224.56036376953125,0.30157846212387085,123.17771911621094,222.56814575195312,0.3602011799812317,154.09811401367188,239.501953125,0.37745368480682373,121.18285369873047,239.501953125,0.26559680700302124,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,155.0291290283203,91.50395965576172,0.6829034686088562,157.022705078125,88.5051040649414,0.8062918782234192,151.0419921875,87.5054931640625,0.890816330909729,156.02590942382812,91.50395965576172,0.3037627935409546,138.0837860107422,91.50395965576172,0.4733993411064148,160.0130615234375,110.49667358398438,0.5936524868011475,125.1255874633789,110.49667358398438,0.5168574452400208,191.91015625,122.49208068847656,0.5016355514526367,92.231689453125,107.4978256225586,0.47368258237838745,222.81048583984375,120.49284362792969,0.446977823972702,110.17381286621094,87.5054931640625,0.6243939399719238,158.0194854736328,174.47213745117188,0.2573537528514862,133.09986877441406,173.4725341796875,0.23360632359981537,155.0291290283203,226.4522247314453,0.3461342453956604,123.13201904296875,224.45298767089844,0.3315885365009308,155.0291290283203,235.44876098632812,0.3221036195755005,122.13523864746094,235.44876098632812,0.26865625381469727,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,156.1263427734375,92.7197265625,0.8243852257728577,156.1263427734375,88.72252655029297,0.6711117029190063,152.14503479003906,88.72252655029297,0.7603785395622253,156.1263427734375,90.72113037109375,0.2600351870059967,138.21041870117188,91.72042846679688,0.45111215114593506,160.107666015625,110.70712280273438,0.5071657299995422,125.2711181640625,110.70712280273438,0.4597790539264679,192.95358276367188,122.69871520996094,0.48803386092185974,92.42521667480469,106.70991516113281,0.46149003505706787,222.8134765625,121.69941711425781,0.6024592518806458,110.3411636352539,86.72393035888672,0.5624575018882751,158.11700439453125,174.66229248046875,0.2765631079673767,133.2337646484375,174.66229248046875,0.23232784867286682,155.13101196289062,227.6251678466797,0.3606102466583252,123.28045654296875,224.6272735595703,0.3454798758029938,155.13101196289062,235.61956787109375,0.32276400923728943,121.289794921875,235.61956787109375,0.262149840593338,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,156.4657745361328,92.36289978027344,0.7041730880737305,156.4657745361328,88.3703384399414,0.9575978517532349,151.49429321289062,88.3703384399414,0.8757627010345459,155.47146606445312,91.36476135253906,0.29170095920562744,136.57981872558594,93.36103820800781,0.5907036066055298,159.44866943359375,111.32756805419922,0.5618411898612976,124.64823913574219,111.32756805419922,0.4715389311313629,192.260498046875,123.30525207519531,0.4279993176460266,91.83641815185547,107.33500671386719,0.5149552822113037,223.08372497558594,121.30897521972656,0.5017858743667603,108.7394790649414,87.37220001220703,0.5779769420623779,157.46006774902344,175.20855712890625,0.27200645208358765,132.60263061523438,175.20855712890625,0.22906595468521118,154.4771728515625,228.11001586914062,0.38830259442329407,123.65394592285156,225.11557006835938,0.3716738224029541,154.4771728515625,236.09512329101562,0.35487037897109985,121.66535186767578,236.09512329101562,0.2804369628429413,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,155.23681640625,92.6307373046875,1.0679833889007568,155.23681640625,88.65290832519531,0.8695098757743835,149.24945068359375,88.65290832519531,0.8942325711250305,155.23681640625,92.6307373046875,0.23061293363571167,135.27896118164062,92.6307373046875,0.8233892917633057,158.23048400878906,112.51988220214844,0.4560685157775879,123.30424499511719,110.53096771240234,0.3937550187110901,190.16305541992188,122.46444702148438,0.3658287525177002,92.36956787109375,106.55313873291016,0.49337631464004517,219.10194396972656,121.4699935913086,0.7429561614990234,106.34007263183594,86.66399383544922,0.47570356726646423,155.23681640625,175.17068481445312,0.24333086609840393,131.28738403320312,175.17068481445312,0.2458905428647995,153.24102783203125,226.8824462890625,0.3349570631980896,122.30635070800781,224.89352416992188,0.34518373012542725,152.24313354492188,235.83255004882812,0.28328222036361694,120.31056213378906,235.83255004882812,0.2771570086479187,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
